address,price,beds,baths,sqft,type,agent,details,zip,county,census_median_home_value,census_median_gross_rent,census_median_hh_income,census_vacancy_pct,census_renter_pct,census_unemployment_pct,census_old_housing_pct,census_population,source_file
"1314 Forrest Dr, Canton, TX 75103",155000.0,3,2,1506.0,House for sale,,"Price cut: $4,000 (2/13)",75103,Van Zandt,165200.0,912.0,58432.0,11.3,18.2,4.6,14.7,59417.0,properties_sheet5_enriched.csv
"918 W Kuykendall St, Grand Saline, TX 75140",155000.0,3,2,1250.0,For sale by owner,,Spacious yard,75140,Van Zandt,165200.0,912.0,58432.0,11.3,18.2,4.6,14.7,59417.0,properties_sheet5_enriched.csv
"104 N Sparrow Ct, Mineola, TX 75773",157990.0,3,2,1202.0,New construction,National Home Corporation,"Price increase: $4,000 (2/18)",75773,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"233 Blue Bird Ln, Mineola, TX 75773",157990.0,3,2,1202.0,New construction,National Home Corporation,Spacious home,75773,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"104 Sparrow Ct, Mineola, TX 75773",157990.0,4,2,1202.0,House for sale,,Split-level floorplan,75773,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"2500 Fair St, Marshall, TX 75670",158000.0,3,2,1220.0,House for sale,USA PLUS REALTY,"Price cut: $1,900 (1/30)",75670,Harrison,168400.0,1015.0,61122.0,10.9,28.7,5.8,17.1,69159.0,properties_sheet5_enriched.csv
"219 Half St, Lindale, TX 75771",159000.0,3,2,1536.0,House for sale,RE/MAX PROFESSIONALS,Sizable backyard,75771,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"312 Willow St, Hughes Springs, TX 75656",159000.0,3,2,1320.0,House for sale,MAYBEN REALTY - PITTSBURG,"Price cut: $8,500 (2/10)",75656,Cass,102400.0,712.0,42567.0,19.8,25.2,6.3,27.4,28684.0,properties_sheet5_enriched.csv
"650 Hunter Rd, Carthage, TX 75633",159000.0,3,2,1242.0,House for sale,READY REAL ESTATE LLC,Modern updates,75633,Panola,138500.0,853.0,56123.0,13.4,19.8,4.8,17.9,22721.0,properties_sheet5_enriched.csv
"627 County Road 305, Carthage, TX 75633",159000.0,3,3,,For sale by owner,,Small storage building,75633,Panola,138500.0,853.0,56123.0,13.4,19.8,4.8,17.9,22721.0,properties_sheet5_enriched.csv
"1221 Webb St, Daingerfield, TX 75638",159000.0,3,2,1497.0,House for sale,,"Price cut: $10,900 (2/4)",75638,Morris,98100.0,721.0,41753.0,21.2,26.8,6.8,28.5,12688.0,properties_sheet5_enriched.csv
"233 Fairway Dr, Gilmer, TX 75645",159000.0,2,2,1897.0,House for sale,NOLAN PROPERTIES LLC,Extra space,75645,Upshur,155600.0,888.0,55426.0,12.8,17.3,4.9,18.5,41784.0,properties_sheet5_enriched.csv
"1118 S Fleishel Ave, Tyler, TX 75701",159800.0,3,2,2076.0,House for sale,KRISTI MARTIN REALTOR LLC,Single-story home,75701,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"127 Conway St, Longview, TX 75601",159900.0,5,2,1890.0,House for sale,TEXAS REAL ESTATE EXECUTIVES - LONGVIEW,"Price cut: $10,000 (2/9)",75601,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"322 S Clayton Ave, Tyler, TX 75702",159900.0,3,2,1736.0,House for sale,"MORA REALTY GROUP, LLC",Solid brick-veneer home,75702,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"805 S Glenwood Blvd, Tyler, TX 75701",159900.0,3,2,1907.0,House for sale,,Brick exterior,75701,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"205 Parkdale Dr W, Whitehouse, TX 75791",159900.0,3,2,1628.0,House for sale,"THE BRIAN CHINN TEAM, EXP REALTY","Price cut: $13,600 (2/19)",75791,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"201 Parkview St, Pittsburg, TX 75686",159900.0,4,4,2931.0,House for sale,CENTURY 21 PREMIER GROUP,37 days on Zillow,75686,Camp,119300.0,762.0,44896.0,18.7,24.1,6.1,22.4,12729.0,properties_sheet5_enriched.csv
"100 Lynch St, Hawkins, TX 75765",159900.0,2,2,978.0,House for sale,"TEXAS REAL ESTATE EXECUTIVES, THE DANIELS GROUP - GILMER",Modern comfort,75765,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"3515 Fm 49, Mineola, TX 75773",159900.0,4,2,2343.0,House for sale,CENTURY 21 FIRST GROUP - MINEOLA,Adjoining dining,75773,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"106 Candy Dr, Pittsburg, TX 75686",159900.0,3,2,2384.0,House for sale,NE TEXAS REGIONAL REALTY,"Price cut: $20,075 (2/16)",75686,Camp,119300.0,762.0,44896.0,18.7,24.1,6.1,22.4,12729.0,properties_sheet5_enriched.csv
"1176 Fm 2088, Gilmer, TX 75644",159900.0,3,2,1680.0,House for sale,TEXAS REAL ESTATE EXECUTIVES-GILMER,37 days on Zillow,75644,Upshur,155600.0,888.0,55426.0,12.8,17.3,4.9,18.5,41784.0,properties_sheet5_enriched.csv
"511 Woodlawn St, Henderson, TX 75652",159995.0,3,2,1499.0,House for sale,"THE GINGRICH GROUP, LLC",Sleek design,75652,,,,,,,,,,properties_sheet5_enriched.csv
"605 E Lynnwood Ln, Longview, TX 75604",160000.0,2,3,1671.0,House for sale,COLDWELL BANKER LENHART-MARSHALL,166 days on Zillow,75604,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"506 E Longview St, Arp, TX 75750",160000.0,3,2,1776.0,For sale by owner,,Metal roof,75750,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
