metropolitan_area_name,efficiency,one_bedroom,two_bedroom,three_bedroom,four_bedroom,fmr_percentile,unnamed:_7,year
Wichita County,"Wichita Falls, TX MSA",$800,$843,"$1,037","$1,418","$1,611",40,2025
Wilbarger County,"Wilbarger County, TX",$702,$706,$928,"$1,122","$1,379",40,2025
Willacy County,"Willacy County, TX",$684,$689,$905,"$1,201","$1,205",40,2025
Williamson County,"Austin-Round Rock, TX MSA","$1,519","$1,635","$1,924","$2,470","$2,840",40,2025
Wilson County,"San Antonio-New Braunfels, TX HUD Metro FMR Area","$1,067","$1,197","$1,458","$1,846","$2,206",40,2025
Winkler County,"Winkler County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Wise County,"Wise County, TX HUD Metro FMR Area",$946,"$1,047","$1,175","$1,656","$1,800",40,2025
Wood County,"Wood County, TX",$740,$831,"$1,092","$1,320","$1,623",40,2025
Yoakum County,"Yoakum County, TX",$907,$951,"$1,165","$1,409","$1,731",40,2025
Young County,"Young County, TX",$744,$799,$955,"$1,261","$1,393",40,2025
Zapata County,"Zapata County, TX",$705,$721,$905,"$1,094","$1,345",40,2025
Zavala County,"Zavala County, TX",$705,$729,$905,"$1,275","$1,345",40,2025
"Abilene, TX MSA",$944,$950,"$1,207","$1,571","$1,899",40,,2025
"Amarillo, TX HUD Metro FMR Area",$813,$952,"$1,158","$1,592","$1,848",40,,2025
"Atascosa County, TX HUD Metro FMR Area",$879,"$1,068","$1,182","$1,482","$1,567",40,,2025
"Austin County, TX HUD Metro FMR Area",$802,$891,"$1,001","$1,403","$1,635",40,,2025
"Austin-Round Rock, TX MSA","$1,549","$1,650","$1,949","$2,484","$2,882",40,,2025
"Beaumont-Port Arthur, TX MSA",$915,$920,"$1,113","$1,460","$1,676",40,,2025
"Brazoria County, TX HUD Metro FMR Area",$951,"$1,138","$1,260","$1,683","$2,116",40,,2025
"Brownsville-Harlingen, TX MSA",$666,$757,$948,"$1,264","$1,310",40,,2025
"College Station-Bryan, TX MSA","$1,034","$1,089","$1,206","$1,690","$1,863",40,,2025
"Corpus Christi, TX MSA","$1,051","$1,128","$1,390","$1,816","$2,119",40,,2025
"Dallas, TX HUD Metro FMR Area","$1,531","$1,606","$1,884","$2,361","$3,033",40,,2025
"El Paso, TX HUD Metro FMR Area",$821,"$1,020","$1,192","$1,647","$2,002",40,,2025
"Falls County, TX HUD Metro FMR Area",$640,$711,$933,"$1,307","$1,567",40,,2025
"Fort Worth-Arlington, TX HUD Metro FMR Area","$1,371","$1,461","$1,705","$2,256","$2,752",40,,2025
"Harrison County, TX HUD Metro FMR Area",$820,$912,"$1,196","$1,441","$1,586",40,,2025
"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,226","$1,279","$1,529","$2,038","$2,568",40,,2025
"Hudspeth County, TX HUD Metro FMR Area",$726,$902,"$1,054","$1,270","$1,770",40,,2025
"Kendall County, TX HUD Metro FMR Area","$1,285","$1,408","$1,728","$2,282","$2,291",40,,2025
"Killeen-Temple, TX HUD Metro FMR Area",$924,$930,"$1,172","$1,631","$1,968",40,,2025
"Lampasas County, TX HUD Metro FMR Area",$781,$787,"$1,032","$1,360","$1,733",40,,2025
"Laredo, TX MSA",$953,$959,"$1,173","$1,493","$1,556",40,,2025
"Longview, TX HUD Metro FMR Area",$989,$995,"$1,193","$1,621","$1,709",40,,2025
"Lubbock, TX HUD Metro FMR Area",$832,"$1,007","$1,192","$1,658","$1,947",40,,2025
"Lynn County, TX HUD Metro FMR Area",$652,$742,$933,"$1,268","$1,567",40,,2025
"Martin County, TX HUD Metro FMR Area","$1,579","$1,589","$1,868","$2,352","$3,024",40,,2025
"McAllen-Edinburg-Mission, TX MSA",$793,$798,$992,"$1,290","$1,430",40,,2025
"Medina County, TX HUD Metro FMR Area",$885,$908,"$1,191","$1,573","$1,579",40,,2025
"Midland, TX HUD Metro FMR Area","$1,582","$1,591","$1,867","$2,398","$2,963",40,,2025
"Odessa, TX MSA","$1,286","$1,295","$1,669","$2,011","$2,359",40,,2025
"Oldham County, TX HUD Metro FMR Area",$781,$915,"$1,113","$1,387","$1,776",40,,2025
"Rusk County, TX HUD Metro FMR Area",$832,$840,"$1,102","$1,396","$1,489",40,,2025
"San Angelo, TX HUD Metro FMR Area",$863,$998,"$1,258","$1,691","$2,078",40,,2025
"San Antonio-New Braunfels, TX HUD Metro FMR Area","$1,116","$1,231","$1,501","$1,907","$2,243",40,,2025
"Sherman-Denison, TX MSA","$1,068","$1,113","$1,342","$1,872","$2,254",40,,2025
"Sterling County, TX HUD Metro FMR Area",$863,$998,"$1,258","$1,687","$2,078",40,,2025
"Texarkana, TX-Texarkana, AR HUD Metro FMR Area",$848,$853,"$1,071","$1,327","$1,677",40,,2025
"Tyler, TX MSA",$995,"$1,084","$1,333","$1,776","$2,011",40,,2025
"Victoria, TX MSA","$1,092","$1,099","$1,392","$1,678","$1,846",40,,2025
"Waco, TX HUD Metro FMR Area",$944,"$1,106","$1,377","$1,776","$1,826",40,,2025
"Wichita Falls, TX MSA",$823,$896,"$1,102","$1,506","$1,709",40,,2025
"Wise County, TX HUD Metro FMR Area",$974,"$1,006","$1,196","$1,676","$1,910",40,,2025
FY2025 Texas FMR Local Area Summary,,,,,,,,2025
Locality Name,Metropolitan Area Name,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,FMR Percentile,2025
Anderson County,"Anderson County, TX",$846,$851,"$1,033","$1,245","$1,563",40,2025
Andrews County,"Andrews County, TX","$1,087","$1,252","$1,386","$1,670","$2,073",40,2025
